TIME,APPLS_CUR_CONS,APPLS_IN_DB2
2017-12-13 21:20:02,122,2
2017-12-13 21:30:01,126,2
2017-12-13 21:40:02,122,1
2017-12-13 21:50:01,125,3
2017-12-13 22:00:01,122,1
2017-12-13 22:10:01,122,1
2017-12-13 22:20:02,123,2
2017-12-13 22:30:02,123,1
2017-12-13 22:40:02,123,2
2017-12-13 22:50:02,124,1
2017-12-13 23:00:01,127,6
2017-12-13 23:10:02,123,2
2017-12-13 23:20:02,124,1
2017-12-13 23:30:02,124,1
2017-12-13 23:40:02,124,3
2017-12-13 23:50:02,124,2
2017-12-14 00:00:02,125,4
2017-12-14 00:10:02,123,1
2017-12-14 00:20:01,122,1
2017-12-14 00:30:02,125,2
2017-12-14 00:40:02,123,1
2017-12-14 00:50:02,123,1
2017-12-14 01:00:02,125,4
2017-12-14 01:10:02,124,2
2017-12-14 01:20:02,121,1
2017-12-14 01:30:02,125,3
2017-12-14 01:40:02,123,1
2017-12-14 01:50:02,124,1
2017-12-14 02:00:02,125,3
2017-12-14 02:10:01,123,1
2017-12-14 02:20:01,122,1
2017-12-14 02:30:01,123,2
2017-12-14 02:40:01,124,1
2017-12-14 02:50:02,124,1
2017-12-14 03:00:02,125,1
2017-12-14 03:10:01,123,2
2017-12-14 03:20:02,123,1
2017-12-14 03:30:02,124,1
2017-12-14 03:40:02,123,2
2017-12-14 03:50:02,124,1
2017-12-14 04:00:02,124,2
2017-12-14 04:10:01,124,2
2017-12-14 04:20:01,122,1
2017-12-14 04:30:01,123,2
2017-12-14 04:40:01,124,1
2017-12-14 04:50:01,121,1
2017-12-14 05:00:01,126,3
2017-12-14 05:10:02,123,1
2017-12-14 05:20:01,123,1
2017-12-14 05:30:01,124,1
2017-12-14 05:40:02,121,1
2017-12-14 05:50:01,122,1
2017-12-14 06:00:01,124,1
2017-12-14 06:10:02,123,2
2017-12-14 06:20:02,123,1
2017-12-14 06:30:02,124,2
2017-12-14 06:40:02,124,1
2017-12-14 06:50:02,122,1
2017-12-14 07:00:02,124,2
2017-12-14 07:10:01,122,1
2017-12-14 07:20:01,124,2
2017-12-14 07:30:01,123,2
2017-12-14 07:40:02,124,2
2017-12-14 07:50:02,122,1
2017-12-14 08:00:02,125,1
2017-12-14 08:10:02,124,1
2017-12-14 08:20:02,124,3
2017-12-14 08:30:02,126,1
2017-12-14 08:40:02,121,1
2017-12-14 08:50:02,122,3
2017-12-14 09:00:03,126,4
2017-12-14 09:10:01,125,3
2017-12-14 09:20:01,135,2
2017-12-14 09:30:02,146,3
2017-12-14 09:40:02,145,7
2017-12-14 09:50:02,150,4
2017-12-14 10:00:02,153,8
2017-12-14 10:10:02,151,10
2017-12-14 10:20:02,166,3
2017-12-14 10:30:02,173,9
2017-12-14 10:40:02,174,9
